Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,15/05/2018,12947.96973,13006.33984,12918.29004,12970.04004,12970.04004,106592400,-0.220703125
DAX,16/05/2018,12983.49023,13030.75977,12960.53027,12996.33008,12996.33008,104171700,-0.128398438
DAX,17/05/2018,12985.13965,13114.62988,12981.88965,13114.61035,13114.61035,92016400,-1.294707031
DAX,18/05/2018,13115.62988,13133.19043,13051.12988,13077.71973,13077.71973,124262900,0.379101563
DAX,22/05/2018,13132.55957,13204.30957,13061.76953,13169.91992,13169.91992,109116500,-0.373603516
DAX,23/05/2018,13138.83008,13148.0498,12929.90039,12976.83984,12976.83984,105439100,1.619902344
DAX,24/05/2018,12955.94043,13006.44043,12801.82031,12855.08984,12855.08984,143763000,1.008505859
DAX,25/05/2018,12917.15039,13002.46973,12852.16992,12938.00977,12938.00977,104044700,-0.20859375
DAX,28/05/2018,13016.5498,13040.62988,12828.25977,12863.45996,12863.45996,69766800,1.530898438
DAX,29/05/2018,12786.15039,12803.29004,12608.7002,12666.50977,12666.50977,153964500,1.19640625
DAX,30/05/2018,12693.33008,12783.75977,12663.37012,12783.75977,12783.75977,122609400,-0.904296875
DAX,31/05/2018,12796.16016,12803.59961,12547.61035,12604.88965,12604.88965,184309000,1.912705078
DAX,01/06/2018,12678.07031,12800.4502,12660.79004,12724.26953,12724.26953,123414600,-0.461992188
DAX,04/06/2018,12839.44043,12846.25977,12714.03027,12770.75,12770.75,84511600,0.686904297
DAX,05/06/2018,12766.16016,12925.24023,12753.2998,12787.12988,12787.12988,107898300,-0.209697266
DAX,06/06/2018,12813.38965,12872.90039,12729.23047,12830.07031,12830.07031,106976800,-0.166806641
DAX,07/06/2018,12877.84961,12914.84961,12760.54004,12811.0498,12811.0498,94068000,0.667998047
DAX,08/06/2018,12668.76953,12795.63965,12610.67969,12766.5498,12766.5498,115025300,-0.977802734
DAX,11/06/2018,12816.32031,12861.9502,12751.66016,12842.91016,12842.91016,108719300,-0.265898438
DAX,12/06/2018,12924.03027,12948.51953,12816.07031,12842.2998,12842.2998,100645600,0.817304688
DAX,13/06/2018,12857.16016,12905.66992,12781.23047,12890.58008,12890.58008,105696700,-0.334199219
DAX,14/06/2018,12806.07031,13135.96973,12800.66016,13107.09961,13107.09961,136091200,-3.010292969
DAX,15/06/2018,13115.84961,13170.0498,13010.54004,13010.5498,13010.5498,257670500,1.052998047
DAX,18/06/2018,12945.53027,12982.91992,12784.48047,12834.11035,12834.11035,89102600,1.114199219
DAX,19/06/2018,12647.07031,12708.70996,12594.50977,12677.96973,12677.96973,102502200,-0.308994141
DAX,20/06/2018,12731.66016,12760.2002,12670.78027,12695.16016,12695.16016,89617400,0.365
DAX,21/06/2018,12699.70996,12719.4502,12472.98047,12511.91016,12511.91016,111154800,1.877998047
DAX,22/06/2018,12507.71973,12579.71973,12486.25977,12579.71973,12579.71973,83725600,-0.72
DAX,25/06/2018,12497.48047,12518.88965,12270.33008,12270.33008,12270.33008,98566500,2.271503906
DAX,26/06/2018,12333.44043,12355.86035,12188.5,12234.33984,12234.33984,62457100,0.991005859
DAX,27/06/2018,12247.75,12439.91016,12124.87012,12348.61035,12348.61035,127889100,-1.008603516
DAX,28/06/2018,12289.80957,12375.37012,12104.41016,12177.23047,12177.23047,107207500,1.125791016
DAX,29/06/2018,12322.63965,12382.87012,12260.91016,12306,12306,114043400,0.166396484
DAX,02/07/2018,12147.94043,12301.92969,12132.71973,12238.16992,12238.16992,93436600,-0.902294922
DAX,03/07/2018,12321.07031,12428.13965,12278.38965,12349.13965,12349.13965,93526400,-0.280693359
DAX,04/07/2018,12323.75,12350.67969,12284.55957,12317.61035,12317.61035,78417600,0.061396484
DAX,05/07/2018,12363.0498,12516.50977,12361.86035,12464.29004,12464.29004,114460400,-1.012402344
