Stockname,Date,Volume
DAX,01/09/2020,423410000
DAX,02/09/2020,539510000
DAX,03/09/2020,650080000
DAX,04/09/2020,694640000
DAX,08/09/2020,580860000
DAX,09/09/2020,460590000
DAX,10/09/2020,442850000
DAX,11/09/2020,435330000
DAX,14/09/2020,380750000
DAX,15/09/2020,414520000
DAX,16/09/2020,416650000
DAX,17/09/2020,437230000
DAX,18/09/2020,698710000
DAX,21/09/2020,523660000
DAX,22/09/2020,420720000
DAX,23/09/2020,459470000
DAX,24/09/2020,447810000
DAX,25/09/2020,388900000
DAX,28/09/2020,401860000
DAX,29/09/2020,303820000
DAX,30/09/2020,452550000
DAX,01/10/2020,373450000
DAX,02/10/2020,392770000
DAX,05/10/2020,318210000
DAX,06/10/2020,435030000
DAX,07/10/2020,328750000
DAX,08/10/2020,314750000
DAX,09/10/2020,324050000
DAX,12/10/2020,493680000
DAX,13/10/2020,526110000
DAX,14/10/2020,370800000
DAX,15/10/2020,328940000
DAX,16/10/2020,356140000
DAX,19/10/2020,358700000
DAX,20/10/2020,350220000
DAX,21/10/2020,299420000
DAX,22/10/2020,330320000
DAX,23/10/2020,347300000
DAX,26/10/2020,404150000
DAX,27/10/2020,366400000
DAX,28/10/2020,496150000
DAX,29/10/2020,419770000
DAX,30/10/2020,504820000
DAX,02/11/2020,379990000
DAX,03/11/2020,350980000
DAX,04/11/2020,447860000
DAX,05/11/2020,390140000
DAX,06/11/2020,326710000
DAX,09/11/2020,673310000
DAX,10/11/2020,526980000
DAX,11/11/2020,376700000
DAX,12/11/2020,369320000
DAX,13/11/2020,348810000
DAX,16/11/2020,418290000
DAX,17/11/2020,372380000
DAX,18/11/2020,382850000
DAX,19/11/2020,331330000
DAX,20/11/2020,305350000
DAX,23/11/2020,387200000
DAX,24/11/2020,432760000
DAX,25/11/2020,323030000
DAX,27/11/2020,177040000
DAX,30/11/2020,551350000
DAX,01/12/2020,429510000
DAX,02/12/2020,385280000
DAX,03/12/2020,405680000
DAX,04/12/2020,356590000
DAX,07/12/2020,365810000
DAX,08/12/2020,311190000
DAX,09/12/2020,380520000
DAX,10/12/2020,325550000
DAX,11/12/2020,393870000
DAX,14/12/2020,371980000
DAX,15/12/2020,417770000
DAX,16/12/2020,344590000
DAX,17/12/2020,345530000
DAX,18/12/2020,782070000
DAX,21/12/2020,437480000
DAX,22/12/2020,388810000
DAX,23/12/2020,274050000
DAX,24/12/2020,145570000
DAX,28/12/2020,302490000
DAX,29/12/2020,357610000
DAX,30/12/2020,291890000
DAX,31/12/2020,284470000
DAX,04/01/2021,475080000
DAX,05/01/2021,350910000
DAX,06/01/2021,500430000
DAX,07/01/2021,427810000
DAX,08/01/2021,381150000
DAX,11/01/2021,356540000
DAX,12/01/2021,362620000
DAX,13/01/2021,413250000
DAX,14/01/2021,427810000
DAX,15/01/2021,433000000
DAX,19/01/2021,386400000
DAX,20/01/2021,384980000
DAX,21/01/2021,418780000
DAX,22/01/2021,436040000
DAX,25/01/2021,472890000
DAX,26/01/2021,373150000
DAX,27/01/2021,566470000
DAX,28/01/2021,465140000
DAX,29/01/2021,536320000
DAX,01/02/2021,347060000
DAX,02/02/2021,333160000
DAX,03/02/2021,305590000
DAX,04/02/2021,338330000
DAX,05/02/2021,293550000
DAX,08/02/2021,322250000
DAX,09/02/2021,308210000
DAX,10/02/2021,326450000
DAX,11/02/2021,280320000
DAX,12/02/2021,263090000
DAX,16/02/2021,329210000
DAX,17/02/2021,343510000
DAX,18/02/2021,325990000
DAX,19/02/2021,353070000
DAX,22/02/2021,387210000
DAX,23/02/2021,460410000
DAX,24/02/2021,410150000
DAX,25/02/2021,454110000
DAX,26/02/2021,532250000
DAX,01/03/2021,385670000
DAX,02/03/2021,337270000
DAX,03/03/2021,409660000
DAX,04/03/2021,537850000
DAX,05/03/2021,501810000
DAX,08/03/2021,496980000
DAX,09/03/2021,458690000
DAX,10/03/2021,409110000
DAX,11/03/2021,400020000
DAX,12/03/2021,346400000
DAX,15/03/2021,360080000
DAX,16/03/2021,386370000
DAX,17/03/2021,391200000
DAX,18/03/2021,418480000
DAX,19/03/2021,811890000
DAX,22/03/2021,383500000
DAX,23/03/2021,385840000
DAX,24/03/2021,399390000
DAX,25/03/2021,411990000
DAX,26/03/2021,382170000
DAX,29/03/2021,351610000
DAX,30/03/2021,307510000
DAX,31/03/2021,414140000
DAX,01/04/2021,311880000
DAX,05/04/2021,344270000
DAX,06/04/2021,297940000
DAX,07/04/2021,273440000
DAX,08/04/2021,304040000
DAX,09/04/2021,316410000
DAX,12/04/2021,327370000
DAX,13/04/2021,324480000
DAX,14/04/2021,315330000
DAX,15/04/2021,319680000
DAX,16/04/2021,343760000
DAX,19/04/2021,312540000
DAX,20/04/2021,350960000
DAX,21/04/2021,290300000
DAX,22/04/2021,344470000
DAX,23/04/2021,346380000
DAX,26/04/2021,279300000
DAX,27/04/2021,289030000
DAX,28/04/2021,335820000
DAX,29/04/2021,408450000
DAX,30/04/2021,374890000
DAX,03/05/2021,289770000
DAX,04/05/2021,407860000
DAX,05/05/2021,253180000
DAX,06/05/2021,315430000
DAX,07/05/2021,303400000
DAX,10/05/2021,361620000
DAX,11/05/2021,413180000
DAX,12/05/2021,381350000
DAX,13/05/2021,350820000
DAX,14/05/2021,303230000
DAX,17/05/2021,291910000
DAX,18/05/2021,289590000
DAX,19/05/2021,348480000
DAX,20/05/2021,320150000
DAX,21/05/2021,306360000
DAX,24/05/2021,251010000
DAX,25/05/2021,285760000
DAX,26/05/2021,258780000
DAX,27/05/2021,520630000
DAX,28/05/2021,290850000
DAX,01/06/2021,287700000
DAX,02/06/2021,263810000
DAX,03/06/2021,297380000
DAX,04/06/2021,270050000
DAX,07/06/2021,259120000
DAX,08/06/2021,289440000
DAX,09/06/2021,245100000
DAX,10/06/2021,309310000
DAX,11/06/2021,260840000
DAX,14/06/2021,295530000
