Stockname,Date,Open
FTSE100,14/05/2019,7163.700195
FTSE100,15/05/2019,7241.600098
FTSE100,16/05/2019,7297
FTSE100,17/05/2019,7353.5
FTSE100,20/05/2019,7348.600098
FTSE100,21/05/2019,7310.899902
FTSE100,22/05/2019,7328.899902
FTSE100,23/05/2019,7334.200195
FTSE100,24/05/2019,7231
FTSE100,28/05/2019,7277.700195
FTSE100,29/05/2019,7269
FTSE100,30/05/2019,7185.299805
FTSE100,31/05/2019,7218.200195
FTSE100,03/06/2019,7161.700195
FTSE100,04/06/2019,7184.799805
FTSE100,05/06/2019,7216.700195
FTSE100,06/06/2019,7220.200195
FTSE100,07/06/2019,7259.899902
FTSE100,10/06/2019,7331.899902
FTSE100,11/06/2019,7375.5
FTSE100,12/06/2019,7398.5
FTSE100,13/06/2019,7367.600098
FTSE100,14/06/2019,7368.600098
FTSE100,17/06/2019,7345.799805
FTSE100,18/06/2019,7357.299805
FTSE100,19/06/2019,7443
FTSE100,20/06/2019,7403.5
FTSE100,21/06/2019,7424.399902
FTSE100,24/06/2019,7407.5
FTSE100,25/06/2019,7416.700195
FTSE100,26/06/2019,7422.399902
FTSE100,27/06/2019,7416.399902
FTSE100,28/06/2019,7402.299805
FTSE100,01/07/2019,7425.600098
FTSE100,02/07/2019,7497.5
FTSE100,03/07/2019,7559.200195
FTSE100,04/07/2019,7609.299805
FTSE100,05/07/2019,7603.600098
FTSE100,08/07/2019,7553.100098
FTSE100,09/07/2019,7549.299805
FTSE100,10/07/2019,7536.5
FTSE100,11/07/2019,7530.700195
FTSE100,12/07/2019,7509.799805
FTSE100,15/07/2019,7506
FTSE100,16/07/2019,7531.700195
FTSE100,17/07/2019,7577.200195
FTSE100,18/07/2019,7535.5
FTSE100,19/07/2019,7493.100098
FTSE100,22/07/2019,7508.700195
FTSE100,23/07/2019,7514.899902
FTSE100,24/07/2019,7556.899902
FTSE100,25/07/2019,7501.5
FTSE100,26/07/2019,7489.100098
FTSE100,29/07/2019,7549.100098
FTSE100,30/07/2019,7686.600098
FTSE100,31/07/2019,7646.799805
FTSE100,01/08/2019,7586.799805
FTSE100,02/08/2019,7584.899902
FTSE100,05/08/2019,7407.100098
FTSE100,06/08/2019,7223.899902
FTSE100,07/08/2019,7171.700195
FTSE100,08/08/2019,7198.700195
FTSE100,09/08/2019,7285.899902
FTSE100,12/08/2019,7253.899902
FTSE100,13/08/2019,7226.700195
FTSE100,14/08/2019,7250.899902
FTSE100,15/08/2019,7147.899902
FTSE100,16/08/2019,7067
FTSE100,19/08/2019,7117.200195
FTSE100,20/08/2019,7189.700195
FTSE100,21/08/2019,7125
FTSE100,22/08/2019,7204
FTSE100,23/08/2019,7128.200195
FTSE100,27/08/2019,7095
FTSE100,28/08/2019,7089.600098
FTSE100,29/08/2019,7114.700195
FTSE100,30/08/2019,7184.299805
FTSE100,02/09/2019,7207.200195
FTSE100,03/09/2019,7281.899902
FTSE100,04/09/2019,7268.200195
FTSE100,05/09/2019,7311.299805
FTSE100,06/09/2019,7271.200195
FTSE100,09/09/2019,7282.299805
FTSE100,10/09/2019,7235.799805
FTSE100,11/09/2019,7268
FTSE100,12/09/2019,7338
FTSE100,13/09/2019,7344.700195
FTSE100,16/09/2019,7367.5
FTSE100,17/09/2019,7321.399902
FTSE100,18/09/2019,7320.399902
FTSE100,19/09/2019,7314.100098
FTSE100,20/09/2019,7356.399902
FTSE100,23/09/2019,7344.899902
FTSE100,24/09/2019,7326.100098
FTSE100,25/09/2019,7291.399902
FTSE100,26/09/2019,7290
FTSE100,27/09/2019,7351.100098
FTSE100,30/09/2019,7426.200195
FTSE100,01/10/2019,7408.200195
FTSE100,02/10/2019,7360.299805
FTSE100,03/10/2019,7122.5
FTSE100,04/10/2019,7077.600098
FTSE100,07/10/2019,7155.399902
FTSE100,08/10/2019,7197.899902
FTSE100,09/10/2019,7143.200195
FTSE100,10/10/2019,7166.5
FTSE100,11/10/2019,7186.399902
FTSE100,14/10/2019,7247.100098
FTSE100,15/10/2019,7213.5
FTSE100,16/10/2019,7211.600098
FTSE100,17/10/2019,7168
FTSE100,18/10/2019,7182.299805
FTSE100,21/10/2019,7150.600098
FTSE100,22/10/2019,7163.600098
FTSE100,23/10/2019,7212.5
FTSE100,24/10/2019,7260.700195
FTSE100,25/10/2019,7328.299805
FTSE100,28/10/2019,7324.5
FTSE100,29/10/2019,7331.299805
FTSE100,30/10/2019,7306.299805
FTSE100,31/10/2019,7330.799805
FTSE100,01/11/2019,7248.399902
FTSE100,04/11/2019,7302.399902
FTSE100,05/11/2019,7369.700195
FTSE100,06/11/2019,7388.100098
FTSE100,07/11/2019,7396.700195
FTSE100,08/11/2019,7406.399902
FTSE100,11/11/2019,7359.399902
FTSE100,12/11/2019,7328.5
FTSE100,13/11/2019,7365.399902
FTSE100,14/11/2019,7351.200195
FTSE100,15/11/2019,7292.799805
FTSE100,18/11/2019,7302.899902
FTSE100,19/11/2019,7307.700195
FTSE100,20/11/2019,7323.799805
FTSE100,21/11/2019,7262.5
FTSE100,22/11/2019,7238.600098
FTSE100,25/11/2019,7326.799805
FTSE100,26/11/2019,7396.299805
FTSE100,27/11/2019,7403.100098
FTSE100,28/11/2019,7429.799805
FTSE100,29/11/2019,7416.399902
FTSE100,02/12/2019,7346.5
FTSE100,03/12/2019,7285.899902
FTSE100,04/12/2019,7158.799805
FTSE100,05/12/2019,7188.5
FTSE100,06/12/2019,7137.899902
FTSE100,09/12/2019,7239.700195
FTSE100,10/12/2019,7233.899902
FTSE100,11/12/2019,7213.799805
FTSE100,12/12/2019,7216.299805
FTSE100,13/12/2019,7273.5
FTSE100,16/12/2019,7353.399902
FTSE100,17/12/2019,7519.100098
FTSE100,18/12/2019,7525.299805
FTSE100,19/12/2019,7540.799805
FTSE100,20/12/2019,7573.799805
FTSE100,23/12/2019,7582.5
FTSE100,24/12/2019,7623.600098
FTSE100,27/12/2019,7632.200195
FTSE100,30/12/2019,7644.899902
FTSE100,31/12/2019,7587.100098
FTSE100,02/01/2020,7542.399902
FTSE100,03/01/2020,7604.299805
FTSE100,06/01/2020,7622.399902
FTSE100,07/01/2020,7575.299805
FTSE100,08/01/2020,7573.899902
FTSE100,09/01/2020,7574.899902
FTSE100,10/01/2020,7598.100098
FTSE100,13/01/2020,7587.899902
FTSE100,14/01/2020,7617.600098
FTSE100,15/01/2020,7622.399902
FTSE100,16/01/2020,7642.799805
FTSE100,17/01/2020,7609.799805
FTSE100,20/01/2020,7674.600098
FTSE100,21/01/2020,7651.399902
FTSE100,22/01/2020,7610.700195
FTSE100,23/01/2020,7571.899902
FTSE100,24/01/2020,7507.700195
FTSE100,27/01/2020,7586
FTSE100,28/01/2020,7412.100098
FTSE100,29/01/2020,7480.700195
FTSE100,30/01/2020,7483.600098
FTSE100,31/01/2020,7382
FTSE100,03/02/2020,7286
FTSE100,04/02/2020,7326.299805
FTSE100,05/02/2020,7439.799805
FTSE100,06/02/2020,7482.5
FTSE100,07/02/2020,7504.799805
FTSE100,10/02/2020,7466.700195
FTSE100,11/02/2020,7446.899902
FTSE100,12/02/2020,7499.399902
FTSE100,13/02/2020,7534.399902
FTSE100,14/02/2020,7452
FTSE100,17/02/2020,7409.100098
FTSE100,18/02/2020,7433.299805
FTSE100,19/02/2020,7382
FTSE100,20/02/2020,7457
FTSE100,21/02/2020,7436.600098
FTSE100,24/02/2020,7403.899902
FTSE100,25/02/2020,7156.799805
FTSE100,26/02/2020,7017.899902
FTSE100,27/02/2020,7042.5
FTSE100,28/02/2020,6796.399902
FTSE100,02/03/2020,6580.600098
FTSE100,03/03/2020,6654.899902
FTSE100,04/03/2020,6718.200195
FTSE100,05/03/2020,6815.600098
FTSE100,06/03/2020,6705.399902
FTSE100,09/03/2020,6462.600098
FTSE100,10/03/2020,5965.799805
FTSE100,11/03/2020,5960.200195
FTSE100,12/03/2020,5876.5
FTSE100,13/03/2020,5237.5
FTSE100,16/03/2020,5366.100098
FTSE100,17/03/2020,5151.100098
FTSE100,18/03/2020,5294.899902
FTSE100,19/03/2020,5080.600098
FTSE100,20/03/2020,5151.600098
FTSE100,23/03/2020,5190.799805
FTSE100,24/03/2020,4993.899902
FTSE100,25/03/2020,5446
FTSE100,26/03/2020,5688.200195
FTSE100,27/03/2020,5815.700195
FTSE100,30/03/2020,5510.299805
FTSE100,31/03/2020,5563.700195
FTSE100,01/04/2020,5672
FTSE100,02/04/2020,5454.600098
FTSE100,03/04/2020,5480.200195
FTSE100,06/04/2020,5415.5
FTSE100,07/04/2020,5582.399902
FTSE100,08/04/2020,5704.5
FTSE100,09/04/2020,5677.700195
FTSE100,14/04/2020,5842.700195
FTSE100,15/04/2020,5791.299805
FTSE100,16/04/2020,5597.700195
FTSE100,17/04/2020,5628.399902
FTSE100,20/04/2020,5787
FTSE100,21/04/2020,5812.799805
FTSE100,22/04/2020,5641
FTSE100,23/04/2020,5770.600098
FTSE100,24/04/2020,5826.600098
FTSE100,27/04/2020,5752.200195
FTSE100,28/04/2020,5846.799805
FTSE100,29/04/2020,5958.5
FTSE100,30/04/2020,6115.299805
FTSE100,01/05/2020,5901.200195
FTSE100,04/05/2020,5763.100098
FTSE100,05/05/2020,5753.799805
FTSE100,06/05/2020,5849.399902
FTSE100,07/05/2020,5853.799805
FTSE100,11/05/2020,5936
FTSE100,12/05/2020,5939.700195
FTSE100,13/05/2020,5994.799805
FTSE100,14/05/2020,5904.100098
FTSE100,15/05/2020,5741.5
FTSE100,18/05/2020,5799.799805
FTSE100,19/05/2020,6048.600098
FTSE100,20/05/2020,6002.200195
FTSE100,21/05/2020,6067.200195
FTSE100,22/05/2020,6015.299805
FTSE100,26/05/2020,5993.299805
FTSE100,27/05/2020,6067.799805
FTSE100,28/05/2020,6144.299805
FTSE100,29/05/2020,6218.799805
FTSE100,01/06/2020,6076.600098
FTSE100,02/06/2020,6166.399902
FTSE100,03/06/2020,6220.100098
FTSE100,04/06/2020,6382.399902
FTSE100,05/06/2020,6341.399902
FTSE100,08/06/2020,6484.299805
FTSE100,09/06/2020,6472.600098
FTSE100,10/06/2020,6335.700195
FTSE100,11/06/2020,6329.100098
FTSE100,12/06/2020,6076.700195
FTSE100,15/06/2020,6105.200195
FTSE100,16/06/2020,6064.700195
FTSE100,17/06/2020,6242.799805
FTSE100,18/06/2020,6253.299805
FTSE100,19/06/2020,6224.100098
FTSE100,22/06/2020,6292.600098
FTSE100,23/06/2020,6244.600098
FTSE100,24/06/2020,6320.100098
FTSE100,25/06/2020,6123.700195
FTSE100,26/06/2020,6147.100098
FTSE100,29/06/2020,6159.299805
FTSE100,30/06/2020,6225.799805
FTSE100,01/07/2020,6169.700195
FTSE100,02/07/2020,6158
FTSE100,03/07/2020,6240.399902
FTSE100,06/07/2020,6157.299805
FTSE100,07/07/2020,6285.899902
FTSE100,08/07/2020,6189.899902
FTSE100,09/07/2020,6156.200195
FTSE100,10/07/2020,6049.600098
FTSE100,13/07/2020,6095.399902
FTSE100,14/07/2020,6176.200195
FTSE100,15/07/2020,6179.799805
FTSE100,16/07/2020,6292.700195
FTSE100,17/07/2020,6250.700195
FTSE100,20/07/2020,6290.299805
FTSE100,21/07/2020,6261.5
FTSE100,22/07/2020,6269.700195
FTSE100,23/07/2020,6207.100098
FTSE100,24/07/2020,6211.399902
FTSE100,27/07/2020,6123.799805
FTSE100,28/07/2020,6104.899902
FTSE100,29/07/2020,6129.299805
FTSE100,30/07/2020,6131.5
FTSE100,31/07/2020,5990
FTSE100,03/08/2020,5897.799805
FTSE100,04/08/2020,6032.899902
FTSE100,05/08/2020,6036
FTSE100,06/08/2020,6104.700195
FTSE100,07/08/2020,6026.899902
FTSE100,10/08/2020,6032.200195
FTSE100,11/08/2020,6050.600098
FTSE100,12/08/2020,6154.299805
FTSE100,13/08/2020,6280.100098
FTSE100,14/08/2020,6185.600098
FTSE100,17/08/2020,6090
FTSE100,18/08/2020,6127.399902
FTSE100,19/08/2020,6076.600098
FTSE100,20/08/2020,6112
FTSE100,21/08/2020,6013.299805
FTSE100,24/08/2020,6001.899902
FTSE100,25/08/2020,6104.700195
FTSE100,26/08/2020,6037
FTSE100,27/08/2020,6045.600098
FTSE100,28/08/2020,6000
FTSE100,01/09/2020,5963.600098
FTSE100,02/09/2020,5862.100098
FTSE100,03/09/2020,5941
FTSE100,04/09/2020,5850.899902
FTSE100,07/09/2020,5799.100098
FTSE100,08/09/2020,5937.399902
FTSE100,09/09/2020,5930.299805
FTSE100,10/09/2020,6012.799805
FTSE100,11/09/2020,6003.299805
FTSE100,14/09/2020,6032.100098
FTSE100,15/09/2020,6026.299805
FTSE100,16/09/2020,6105.5
FTSE100,17/09/2020,6078.5
FTSE100,18/09/2020,6049.899902
FTSE100,21/09/2020,6007.100098
FTSE100,22/09/2020,5804.299805
FTSE100,23/09/2020,5829.5
FTSE100,24/09/2020,5899.299805
FTSE100,25/09/2020,5822.799805
FTSE100,28/09/2020,5842.700195
FTSE100,29/09/2020,5927.899902
FTSE100,30/09/2020,5897.5
FTSE100,01/10/2020,5866.100098
FTSE100,02/10/2020,5879.5
FTSE100,05/10/2020,5902.100098
FTSE100,06/10/2020,5942.899902
FTSE100,07/10/2020,5949.899902
