Cryptocurrency,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
Bitcoin,04/06/2018,7722.529785,7753.819824,7474.040039,7514.470215,7514.470215,4993169920,4%,-0.026654549,-2.665454942
Bitcoin,05/06/2018,7500.899902,7643.22998,7397,7633.759766,7633.759766,4961739776,3%,0.015874646,1.58746455
Bitcoin,06/06/2018,7625.970215,7680.430176,7502.009766,7653.97998,7653.97998,4692259840,2%,0.002648788,0.264878847
Bitcoin,07/06/2018,7650.819824,7741.27002,7650.819824,7678.240234,7678.240234,4485799936,1%,0.003169626,0.316962599
Bitcoin,08/06/2018,7685.140137,7698.189941,7558.399902,7624.919922,7624.919922,4227579904,2%,-0.00694434,-0.694434022
Bitcoin,09/06/2018,7632.52002,7683.580078,7531.97998,7531.97998,7531.97998,3845220096,2%,-0.012188973,-1.218897278
Bitcoin,10/06/2018,7499.549805,7499.549805,6709.069824,6786.02002,6786.02002,5804839936,11%,-0.099039026,-9.903902598
Bitcoin,11/06/2018,6799.290039,6910.180176,6706.629883,6906.919922,6906.919922,4745269760,3%,0.017816025,1.7816025
Bitcoin,12/06/2018,6905.819824,6907.959961,6542.080078,6582.359863,6582.359863,4654380032,5%,-0.046990563,-4.699056342
Bitcoin,13/06/2018,6596.879883,6631.660156,6285.629883,6349.899902,6349.899902,5052349952,5%,-0.035315596,-3.531559589
Bitcoin,14/06/2018,6342.75,6707.140137,6334.459961,6675.350098,6675.350098,5138710016,6%,0.051252807,5.125280718
Bitcoin,15/06/2018,6674.080078,6681.080078,6433.870117,6456.580078,6456.580078,3955389952,4%,-0.032772816,-3.277281586
Bitcoin,16/06/2018,6455.450195,6592.490234,6402.290039,6550.160156,6550.160156,3194170112,3%,0.014493753,1.449375319
Bitcoin,17/06/2018,6545.529785,6589.109863,6499.27002,6499.27002,6499.27002,3104019968,1%,-0.007769297,-0.776929655
Bitcoin,18/06/2018,6510.069824,6781.140137,6446.680176,6734.819824,6734.819824,4039200000,5%,0.036242502,3.624250169
Bitcoin,19/06/2018,6742.390137,6822.5,6709.919922,6769.939941,6769.939941,4057029888,2%,0.005214708,0.521470776
Bitcoin,20/06/2018,6770.759766,6821.560059,6611.879883,6776.549805,6776.549805,3888640000,3%,0.000976355,0.097635479
Bitcoin,21/06/2018,6780.089844,6810.939941,6715.169922,6729.740234,6729.740234,3529129984,1%,-0.006907582,-0.690758154
Bitcoin,22/06/2018,6737.879883,6747.080078,6006.600098,6083.689941,6083.689941,5079810048,12%,-0.095999291,-9.599929128
Bitcoin,23/06/2018,6090.100098,6224.819824,6071.810059,6162.47998,6162.47998,3431360000,2%,0.012951028,1.295102805
Bitcoin,24/06/2018,6164.279785,6223.779785,5826.410156,6173.22998,6173.22998,4566909952,7%,0.001744428,0.174442757
Bitcoin,25/06/2018,6171.970215,6327.370117,6119.680176,6249.180176,6249.180176,5500810240,3%,0.012303153,1.230315338
Bitcoin,26/06/2018,6253.549805,6290.160156,6093.669922,6093.669922,6093.669922,3279759872,3%,-0.024884905,-2.488490482
Bitcoin,27/06/2018,6084.399902,6180,6052.850098,6157.129883,6157.129883,3296219904,2%,0.010414079,1.041407916
Bitcoin,28/06/2018,6153.160156,6170.410156,5873.049805,5903.439941,5903.439941,3467800064,5%,-0.04120263,-4.120262951
Bitcoin,29/06/2018,5898.129883,6261.660156,5835.75,6218.299805,6218.299805,3966230016,7%,0.053334982,5.333498205
Bitcoin,30/06/2018,6214.220215,6465.509766,6214.220215,6404,6404,4543860224,4%,0.0298635,2.986349985
Bitcoin,01/07/2018,6411.680176,6432.850098,6289.290039,6385.819824,6385.819824,4788259840,2%,-0.002838878,-0.283887817
Bitcoin,02/07/2018,6380.379883,6683.859863,6305.700195,6614.180176,6614.180176,4396930048,6%,0.035760538,3.576053786
Bitcoin,03/07/2018,6596.660156,6671.370117,6447.75,6529.589844,6529.589844,4672309760,3%,-0.012789239,-1.278923915
Bitcoin,04/07/2018,6550.870117,6771.919922,6450.459961,6597.549805,6597.549805,4176689920,5%,0.010407998,1.040799844
Bitcoin,05/07/2018,6599.709961,6749.540039,6546.649902,6639.140137,6639.140137,4999240192,3%,0.006303906,0.630390573
Bitcoin,06/07/2018,6638.689941,6700.939941,6533.549805,6673.5,6673.5,4313959936,3%,0.005175348,0.51753484
Bitcoin,07/07/2018,6668.709961,6863.990234,6579.240234,6856.930176,6856.930176,3961080064,4%,0.027486353,2.748635286
Bitcoin,08/07/2018,6857.799805,6885.910156,6747.97998,6773.879883,6773.879883,3386210048,2%,-0.012111877,-1.211187672
Bitcoin,09/07/2018,6775.080078,6838.680176,6724.339844,6741.75,6741.75,3718129920,2%,-0.004743202,-0.474320233
Bitcoin,10/07/2018,6739.209961,6767.740234,6320.720215,6329.950195,6329.950195,4052430080,7%,-0.061082034,-6.108203429
Bitcoin,11/07/2018,6330.77002,6444.959961,6330.470215,6394.709961,6394.709961,3644859904,2%,0.010230691,1.023069118
Bitcoin,12/07/2018,6396.779785,6397.100098,6136.419922,6228.810059,6228.810059,3770170112,4%,-0.025943304,-2.594330366
Bitcoin,13/07/2018,6235.029785,6310.549805,6192.240234,6238.049805,6238.049805,3805400064,2%,0.001483389,0.148338864
Bitcoin,14/07/2018,6247.5,6298.189941,6212.220215,6276.120117,6276.120117,2923670016,1%,0.006102919,0.610291897
Bitcoin,15/07/2018,6272.700195,6403.459961,6256.509766,6359.640137,6359.640137,3285459968,2%,0.013307588,1.33075878
Bitcoin,16/07/2018,6357.009766,6741.75,6357.009766,6741.75,6741.75,4725799936,6%,0.060083567,6.008356685
Bitcoin,17/07/2018,6739.649902,7387.240234,6684.169922,7321.040039,7321.040039,5961950208,10%,0.085925767,8.592576691
Bitcoin,18/07/2018,7315.319824,7534.990234,7280.470215,7370.779785,7370.779785,6103410176,3%,0.006794082,0.679408196
Bitcoin,19/07/2018,7378.200195,7494.459961,7295.459961,7466.859863,7466.859863,5111629824,3%,0.013035266,1.303526641
Bitcoin,20/07/2018,7467.399902,7594.669922,7323.259766,7354.129883,7354.129883,4936869888,4%,-0.015097375,-1.50973746
