Stockname,Date,Open,Volume,Returns
NASDAQ,08/01/2018,7135.379883,2051430000,-0.220102539
NASDAQ,09/01/2018,7174.189941,2107300000,0.106098633
NASDAQ,10/01/2018,7129.830078,2122740000,-0.237397461
NASDAQ,11/01/2018,7168.72998,2009740000,-0.430498047
NASDAQ,12/01/2018,7208.169922,1976200000,-0.528901367
NASDAQ,16/01/2018,7307.189941,2377140000,0.835
NASDAQ,17/01/2018,7257.77002,2238070000,-0.405097656
NASDAQ,18/01/2018,7293.649902,2026220000,-0.023999023
NASDAQ,19/01/2018,7312,1997270000,-0.243798828
NASDAQ,22/01/2018,7338.040039,2106070000,-0.699897461
NASDAQ,23/01/2018,7424.950195,2119840000,-0.353398438
NASDAQ,24/01/2018,7474.160156,2277010000,0.591000977
NASDAQ,25/01/2018,7457.950195,2061450000,0.467900391
NASDAQ,26/01/2018,7448.330078,2059010000,-0.574399414
NASDAQ,29/01/2018,7484.470215,2103380000,0.179604492
NASDAQ,30/01/2018,7388.890137,2163980000,-0.135898438
NASDAQ,31/01/2018,7443.25,2407540000,0.317700195
NASDAQ,01/02/2018,7377.169922,2291680000,-0.086899414
NASDAQ,02/02/2018,7347.589844,2587770000,1.066396484
NASDAQ,05/02/2018,7165.959961,3106870000,1.984301758
NASDAQ,06/02/2018,6837.560059,3131030000,-2.783198242
NASDAQ,07/02/2018,7086.200195,2366970000,0.342202148
NASDAQ,08/02/2018,7067.299805,2707700000,2.901396484
NASDAQ,09/02/2018,6863.339844,3155990000,-0.111503906
NASDAQ,12/02/2018,6936.680176,2240420000,-0.452797852
NASDAQ,13/02/2018,6942.160156,1816670000,-0.713496094
NASDAQ,14/02/2018,6979.240234,2211460000,-1.643798828
NASDAQ,15/02/2018,7200.75,2110700000,-0.556801758
NASDAQ,16/02/2018,7236.509766,2019830000,-0.029604492
NASDAQ,20/02/2018,7209.029785,1911170000,-0.252802734
NASDAQ,21/02/2018,7258.47998,1946010000,0.4025
NASDAQ,22/02/2018,7252.459961,1911900000,0.423701172
NASDAQ,23/02/2018,7261.350098,1879460000,-0.760400391
NASDAQ,26/02/2018,7373.299805,1866610000,-0.481601563
NASDAQ,27/02/2018,7416.169922,2155850000,0.858198242
NASDAQ,28/02/2018,7371.410156,2373880000,0.984003906
NASDAQ,01/03/2018,7274.75,2489040000,0.941899414
NASDAQ,02/03/2018,7099.540039,2287320000,-1.583300781
NASDAQ,05/03/2018,7222.890137,2066350000,-1.078198242
NASDAQ,06/03/2018,7366.609863,2112570000,-0.053999023
NASDAQ,07/03/2018,7311.740234,2192230000,-0.84909668
NASDAQ,08/03/2018,7422.77002,2272110000,-0.051801758
NASDAQ,09/03/2018,7475.97998,2302930000,-0.848300781
NASDAQ,12/03/2018,7581.040039,2294440000,-0.072797852
NASDAQ,13/03/2018,7627.52002,2448830000,1.165102539
NASDAQ,14/03/2018,7539.779785,2104450000,0.429697266
NASDAQ,15/03/2018,7509.240234,1991570000,0.275
NASDAQ,16/03/2018,7504.370117,3046990000,0.223798828
NASDAQ,19/03/2018,7419.200195,2327430000,0.749599609
NASDAQ,20/03/2018,7353.25,1967690000,-0.110498047
NASDAQ,21/03/2018,7347.5,1988390000,0.022099609
NASDAQ,22/03/2018,7257.549805,2347160000,0.908696289
